session_id,date_time,source_ip,source_port,destination_ip,destination_port,bytes,packages_count
1.3028644764496958e+16,2022-04-20 15:40:20.381,10.105.154.56,55136,10.253.204.59,3000,254,3
1.3028644764496958e+16,2022-04-20 15:40:53.536,10.105.154.56,55132,10.253.204.59,3001,40,2
1.3028644764496958e+16,2022-04-20 15:41:20.193,10.105.154.56,55137,10.253.204.59,3000,274,4
1.3028644764496958e+16,2022-04-20 15:41:20.254,10.105.154.56,55138,10.253.204.59,3000,254,3
1.3028644764496958e+16,2022-04-20 15:42:20.185,10.105.154.56,55140,10.253.204.59,3000,254,3
1.3028644764496958e+16,2022-04-20 15:42:20.246,10.105.154.56,55141,10.253.204.59,3000,274,4
1.3028644764496958e+16,2022-04-20 15:42:41.130,10.105.154.56,55143,10.253.204.59,3001,1281,5
1.3028644764496958e+16,2022-04-20 15:44:20.177,10.105.154.56,55145,10.253.204.59,3000,274,4
1.3028644764496958e+16,2022-04-20 15:44:20.239,10.105.154.56,55146,10.253.204.59,3000,274,4
1.3028644764496958e+16,2022-04-20 15:44:21.238,10.105.154.56,55143,10.253.204.59,3001,40,2
1.3028644764496958e+16,2022-04-20 15:46:20.170,10.105.154.56,55147,10.253.204.59,3000,274,4
1.3028644764496958e+16,2022-04-20 15:46:20.232,10.105.154.56,55148,10.253.204.59,3000,254,3
1.3028644764496958e+16,2022-04-20 15:46:20.853,10.105.154.56,55149,10.253.204.59,3000,241,4
1.3028644764496958e+16,2022-04-20 15:46:20.915,10.105.154.56,55150,10.253.204.59,3000,241,4
1.3028644764496958e+16,2022-04-20 15:46:25.242,10.105.154.56,55151,10.253.204.59,3001,450,5
1.3028644764496958e+16,2022-04-20 15:47:33.637,10.105.154.56,55151,10.253.204.59,3001,108,2
1.3028644764496958e+16,2022-04-20 15:48:20.157,10.105.154.56,55153,10.253.204.59,3000,330,4
1.3028644764496958e+16,2022-04-20 15:49:13.682,10.105.154.56,55151,10.253.204.59,3001,40,2
1.3028644764496958e+16,2022-04-20 15:50:20.150,10.105.154.56,55161,10.253.204.59,3000,274,4
1.3028644764496958e+16,2022-04-20 15:50:20.212,10.105.154.56,55162,10.253.204.59,3000,274,4
1.3028644764496958e+16,2022-04-20 15:50:20.276,10.105.154.56,55163,10.253.204.59,3000,330,4
1.3028644764496958e+16,2022-04-20 15:51:25.690,10.105.154.56,55163,10.253.204.59,3000,40,2
1.3028644764496958e+16,2022-04-20 15:52:02.389,10.105.154.56,55166,10.253.204.59,3001,450,5
1.3028644764496958e+16,2022-04-20 15:53:42.502,10.105.154.56,55166,10.253.204.59,3001,40,2
1.3028644764496958e+16,2022-04-20 15:55:53.801,10.105.154.56,55167,10.253.204.59,3001,184,4
1.3028644764496958e+16,2022-04-20 15:56:21.154,10.105.154.56,55168,10.253.204.59,3000,241,4
1.3028644764496958e+16,2022-04-20 15:56:21.215,10.105.154.56,55169,10.253.204.59,3000,221,3
1.3028644764496958e+16,2022-04-20 15:57:33.882,10.105.154.56,55167,10.253.204.59,3001,40,2
1.3028644764496958e+16,2022-04-20 15:57:39.538,10.105.154.56,55174,10.253.204.59,3001,1569,5
1.3028644764496958e+16,2022-04-20 15:59:19.652,10.105.154.56,55174,10.253.204.59,3001,40,2
1.3028644764496958e+16,2022-04-20 16:01:23.650,10.105.154.56,55176,10.253.204.59,3001,450,5
1.3028644764496958e+16,2022-04-20 16:03:03.774,10.105.154.56,55176,10.253.204.59,3001,40,2
1.3028644764496958e+16,2022-04-20 16:04:13.999,10.105.154.56,55182,10.253.204.59,3001,184,4
1.3058899129777282e+16,2022-04-20 15:29:42.394,10.145.108.210,60659,10.253.254.240,3268,1403,12
1.3058899129777282e+16,2022-04-20 15:29:42.431,10.145.108.210,60660,10.253.254.240,3268,1287,12
1.3058899129777282e+16,2022-04-20 15:29:43.784,10.145.108.210,60689,10.253.254.240,3268,1275,12
1.3058899129777282e+16,2022-04-20 15:34:42.442,10.145.108.210,60740,10.253.254.240,3268,1255,11
1.3058899129777282e+16,2022-04-20 15:34:42.580,10.145.108.210,60743,10.253.254.240,3268,1383,11
1.30691138763955e+16,2022-04-20 15:03:36.899,10.157.101.101,60847,10.253.199.186,443,1562,10
1.30691138763955e+16,2022-04-20 15:04:33.913,10.157.101.101,60850,10.253.199.186,443,1544,9
1.30691138763955e+16,2022-04-20 15:05:36.999,10.157.101.101,60856,10.253.199.186,443,1544,9
1.30691138763955e+16,2022-04-20 15:06:12.921,10.157.101.101,60868,10.253.199.186,443,1544,9
1.30691138763955e+16,2022-04-20 15:08:38.110,10.157.101.101,60879,10.253.199.186,443,1518,9
1.30691138763955e+16,2022-04-20 15:09:33.903,10.157.101.101,60884,10.253.199.186,443,1588,10
1.30691138763955e+16,2022-04-20 15:10:36.900,10.157.101.101,60885,10.253.199.186,443,1544,9
1.30691138763955e+16,2022-04-20 15:11:12.893,10.157.101.101,60887,10.253.199.186,443,1544,9
1.30691138763955e+16,2022-04-20 15:13:36.967,10.157.101.101,60906,10.253.199.186,443,2323,10
